FlowCell Text Data File: Liver_130525.csv
Software Version: 2.30
Triax Firmware Version: 0.63
Fractionator Firmware Version 4.211
Date: 2025-05-13
Time: 12:39:51
User: MS AC

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW55Ti
Speed: 37 rpm
Gradient: Sucrose 10.0% to 50.0% v/v
Time: 1:00
w2t:  x 10^0
Sample Volume: 0.3 ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.116 ml/mm
Tubing length: 290 mm
Total Dead Volume (= last fraction): 0.299 ml
Scan Speed: 0.20 mm/sec
Total Distance: 40.8 mm
Upper Limit to Slow-down Distance: 81.40 mm
Start mode: Meniscus sensing
Fail-safe Distance (M): 8 mm
Number of fractions: 20
Distance/fraction: 2.04 mm
Start Distance: 0.00 mm
Volume/fraction: 0.237 ml
Data Samples/mm: 10.00

*** SCANNING SETTINGS ***
Scanning mode: SINGLE UV OD
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 500 ms
LED1 (260 nm) On Time: 10 ms
Sample A Zero: 781850
Source A Zero: 240096.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
508091.130, 231503.170, 31.67, 0.887921, , 
507644.300, 231426.610, 31.78, 0.889157, , 
507513.570, 231375.090, 31.88, 0.889235, , 
508028.850, 231461.580, 31.98, 0.887793, , 
507882.710, 231405.330, 32.08, 0.887893, , 
506598.500, 231372.840, 32.18, 0.893275, , 
507767.130, 231418.820, 32.28, 0.888537, , 
508245.640, 231502.640, 32.38, 0.887232, , 
508250.910, 231502.640, 32.48, 0.887208, , 
509052.400, 231502.640, 32.59, 0.883662, , 
509191.430, 231502.640, 32.69, 0.883048, 16, 0.235
509534.140, 231502.640, 32.79, 0.881534, , 
510145.250, 231502.640, 32.89, 0.878836, , 
509945.320, 231544.290, 32.99, 0.880123, , 
509405.600, 231439.550, 33.09, 0.881488, , 
509990.100, 231385.950, 33.19, 0.878386, , 
510569.150, 231495.880, 33.29, 0.876901, , 
511237.360, 231489.400, 33.39, 0.873895, , 
512265.590, 231475.200, 33.49, 0.869235, , 
513195.150, 231540.160, 33.59, 0.865787, , 
513392.930, 231527.420, 33.69, 0.864796, , 
513734.330, 231471.990, 33.79, 0.862761, , 
515102.050, 231555.280, 33.90, 0.857587, , 
515921.480, 231529.850, 34.00, 0.853763, , 
516031.510, 231492.850, 34.10, 0.852923, , 
